,Checking Status,Duration,Credit History,Purpose,Credit Amount,Saving Status,Employment,Installment Commitment,Other Parties,Residence Since,Property Magnitude,Age,Other Payment Plans,Housing,Existing Credits,Job,Num Dependents,Own Telephone,Foreign Worker,Gender,Marriage
0,0,6,critical/other existing credit,radio/tv,1169,0,10,4,none,4,real estate,67,none,own,2,skilled,1,Having telephone,Foreign,male,single
1,200,48,existing paid,radio/tv,5951,100,4,2,none,2,real estate,22,none,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
2,0,12,critical/other existing credit,education,2096,100,7,2,none,3,real estate,49,none,own,1,unskilled resident,2,No telephone,Foreign,male,single
3,0,42,existing paid,furniture/equipment,7882,100,7,2,guarantor,4,life insurance,45,none,for free,1,skilled,2,No telephone,Foreign,male,single
4,0,24,delayed previously,new car,4870,100,4,3,none,4,no known property,53,none,for free,2,skilled,2,No telephone,Foreign,male,single
5,0,36,existing paid,education,9055,0,4,2,none,4,no known property,35,none,for free,1,unskilled resident,2,Having telephone,Foreign,male,single
6,0,24,existing paid,furniture/equipment,2835,1000,10,3,none,4,life insurance,53,none,own,1,skilled,1,No telephone,Foreign,male,single
7,200,36,existing paid,used car,6948,100,4,2,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
8,0,12,existing paid,radio/tv,3059,1500,7,2,none,4,real estate,61,none,own,1,unskilled resident,1,No telephone,Foreign,male,div/sep
9,200,30,critical/other existing credit,new car,5234,100,unemployed,4,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,No telephone,Foreign,male,mar/wid
10,200,12,existing paid,new car,1295,100,0,3,none,1,car,25,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
11,0,48,existing paid,business,4308,100,0,3,none,4,life insurance,24,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
12,200,12,existing paid,radio/tv,1567,100,4,1,none,1,car,22,none,own,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
13,0,24,critical/other existing credit,new car,1199,100,10,4,none,4,car,60,none,own,2,unskilled resident,1,No telephone,Foreign,male,single
14,0,15,existing paid,new car,1403,100,4,2,none,4,car,28,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
15,0,24,existing paid,radio/tv,1282,500,4,4,none,2,car,32,none,own,1,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
16,0,24,critical/other existing credit,radio/tv,2424,0,10,4,none,4,life insurance,53,none,own,2,skilled,1,No telephone,Foreign,male,single
17,0,30,no credits/all paid,business,8072,0,0,2,none,3,car,25,bank,own,3,skilled,1,No telephone,Foreign,male,single
18,200,24,existing paid,used car,12579,100,10,4,none,2,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,female,div/dep/mar
19,0,24,existing paid,radio/tv,3430,1000,10,3,none,2,car,31,none,own,1,skilled,2,Having telephone,Foreign,male,single
20,0,9,critical/other existing credit,new car,2134,100,4,4,none,4,car,48,none,own,3,skilled,1,Having telephone,Foreign,male,single
